item_type,name,img_path,subcategory,icon,pdf_link
0,Building Materials,building_materials_category.jpg,Cement; Steel Bar; Plywoods; Roofing Sheet; Wire Mesh,bi bi-house-door-fill,https://www.buds.com.ua/images/Lorem_ipsum.pdf
1,Bolts & Fasteners,bolts_fasteners_category.jpg,Nails; Hooks; Rivets; Screws; Washers; Bolts & Nut,bi bi-nut-fill,https://www.buds.com.ua/images/Lorem_ipsum.pdf
2,Hand Tools,hand_tools_category.jpg,Mechanical Tools; Crimping Tools; Cutting Tools; Holding Tools; Fastening Tools; Stapling Tools; Striking & Struck Tools; Measuring Tools,bi bi-wrench,https://www.buds.com.ua/images/Lorem_ipsum.pdf
3,General & Household,general_household_category.jpg,Rachet Brace; Wheel Spanner; Utility Knife Set; Hex Key Set; Ladder; G Clamps; Others,bi bi-ladder,https://www.buds.com.ua/images/Lorem_ipsum.pdf
4,Welding & Machinery,welding_machinery_category.jpg,PERIPHERAL PUMPS; WELDING MACHINE; HIGH PRESSURE REGULATOR; GENERATOR; WATER PUMP; CENTRIFUGAL PUMP,bi bi-door-open-fill,https://www.buds.com.ua/images/Lorem_ipsum.pdf
5,Safety & Security,safety_security_category.jpg,"Safety Shoes, Glove, Mask & Helmet; Rain Coat Jacket, Welding Jacket",bi bi-lock-fill,https://www.buds.com.ua/images/Lorem_ipsum.pdf
6,Electrical Accessories,electrical_accessories_category.jpg,Wire & Accessories; Extensions & Adaptors; Plug & Sockets; Bulbs & Downlight; Tube & Tube Fitting; Accessories,bi bi-lightning-fill,https://www.buds.com.ua/images/Lorem_ipsum.pdf
7,Plumbing,plumbing_category.jpg,Valve & Fitting; Taps & Accessories; Shower Set & Accessories; Bathroom & Accessories; Sink & Accessories; Basin & Accessories,bi bi-battery-full,https://www.buds.com.ua/images/Lorem_ipsum.pdf
8,Power Tools,power_tools_category.jpg,Cordless Tools; Demolition Tools and Equipment; Power Drills; Heat Guns; Fastening Tools; Jigsaw; Nail Gun,bi bi-plug-fill,https://www.buds.com.ua/images/Lorem_ipsum.pdf
9,Paint,paint_category.jpg,Decorating paint; Industrial paint; Painting Accesories,bi bi-paint-bucket,https://www.buds.com.ua/images/Lorem_ipsum.pdf
