Item Code,Description,Base UOM,Item Group,Item Type
00100,CEMENT (OPC) 42.5 50KGS,BAG,00-1,0
00101,PORTLAND LIMESTONE CEMENT (PLC) 32.5 50KGS,BAG,00-1,0
00102,25KGS WHITE CEMENT,BAG,00-1,0
00103,PORTLAND LIMESTONE CEMENT (PLC) 42.5 50KGS,BAG,00-1,0
00106,OPC / PLC PAPER BAG FOR REBAGGING,PC,00-1,0
00107,CEMENT SLING BAG,PC,00-1,0
00108,JUMBO BAG CMS CEMENT,BAG,00-1,0
0030080,(U) R8 X 12M MS ROUND BAR [1B=150],PC,00-3,0
0031008,(U) R8 X 12M MS ROUND BAR,PC,00-3,0
0031010,(U) R10 X 12M MS ROUND BAR,PC,00-3,0
00310102,2# (U) R10 X 12M MS ROUND BAR,PC,00-3,0
0031012,(U) R12 X 12M MS ROUND BAR,PC,00-3,0
00310122,(U) R12 X 12M(2#) MS ROUND BAR,PC,00-3,0
0031016,(U) R16 X 12M MS ROUND BAR,PC,00-3,0
00310162,(U) R16 X 12M(2#) MS ROUND BAR,PC,00-3,0
0031020,(U) R20 X 12M MS ROUND BAR,PC,00-3,0
0031025,(U) R25 X 12M MS ROUND BAR,PC,00-3,0
0032010,(U)T10 X 12M MS DEFORMED BAR,PC,00-3,0
00320102,(U)T10 X 12M (2#) MS DEFORMED BAR,PC,00-3,0
0032012,(U)T12 X 12M MS DEFORMED BAR,PC,00-3,0
00320122,(U)T12 X 12M (2#) MS DEFORMED BAR,PC,00-3,0
0032016,(U)T16 X 12M MS DEFORMED BAR,PC,00-3,0
00320162,(U)T16 X 12M (2#) MS DEFORMED BAR,PC,00-3,0
0033010,T10 X 12M MS146 B500B DEFORMED BAR,PC,00-3,0
0033012,T12 X 12M MS146 B500B DEFORMED BAR,PC,00-3,0
0033016,T16 X 12M MS146 B500B DEFORMED BAR,PC,00-3,0
0033020,T20 X 12M MS146 B500B DEFORMED BAR,PC,00-3,0
0033025,T25 X 12M MS146 B500B DEFORMED BAR,PC,00-3,0
0033032,T32 X 12M MS146 B500B DEFORMED BAR,PC,00-3,0
0033040,T40 X 12M MS146 B500B DEFORMED BAR,PC,00-3,0
0034008,(U) R8 X 12M MS ROUND BAR [1B=150],BDLE,00-3,0
0034010,(U) R10 X 12M MS ROUND BAR [1B=138],BDLE,00-3,0
0034012,(U) R12 X 12M MS ROUND BAR [1B=96],BDLE,00-3,0
0034016,(U) R16 X 12M MS ROUND BAR [1B=54],BDLE,00-3,0
0034020,(U) R20 X 12M MS ROUND BAR [1B=34],BDLE,00-3,0
0034025,(U) R25 X 12M MS ROUND BAR [1B=22],BDLE,00-3,0
0034110,(U)T10 X 12M MS DEFORMED BAR [1B=138],BDLE,00-3,0
0034120,(U)T12 X 12M MS DEFORMED BAR [1B=96],BDLE,00-3,0
0034160,(U)T16 X 12M MS DEFORMED BAR [1B=54],BDLE,00-3,0
0034210,T10 X 12M MS146 B500B DEFORMED BAR [1B=138],BDLE,00-3,0
0034212,T12 X 12M MS146 B500B DEFORMED BAR [1B=96],BDLE,00-3,0
0034216,T16 X 12M MS146 B500B DEFORMED BAR [1B=54],BDLE,00-3,0
0034220,T20 X 12M MS146 B500B DEFORMED BAR [1B=34],BDLE,00-3,0
0034225,T25 X 12M MS146 B500B DEFORMED BAR [1B=22],BDLE,00-3,0
0034232,T32 X 12M MS146 B500B DEFORMED BAR [1B=14],BDLE,00-3,0
0034240,T40 X 12M MS146 B500B DEFORMED BAR [1B=9],BDLE,00-3,0
0035016,T16 X LENGTH MS146 B500B DEFORMED BAR,PC,00-3,0
0035020,T20 X LENGTH MS146 B500B DEFORMED BAR,PC,00-3,0
007001,STARKEN AAC BLOCK 600MM X 200MM X 100MM,PC,07-1,0
01011A6,(1.7M X 3.5M) YMC YA6 8L*17C (SIRIM) A142,PC,01-0,0
0101A05,YMC A5/YA5-(SIRIM) (2M X 4.8M),PC,01-0,0
0101A06,YMC YA6-(2M X 4.8M) 10L*24C (SIRIM) A142,PC,01-0,0
0101A062,(2#) YMC A142-A6/YA6-(SIRIM) (2M X 4.8M) 10L*24C,PC,01-0,0
0101A07,YMC YA7-(2M X 4.8M) 10L*24C (SIRIM) A193,PC,01-0,0
0101A072,(2#) YMC A193-A7/YA7-(SIRIM) (2M X 4.8M) 10L*24C,PC,01-0,0
0101A08,YMC YA8-(2M X 4.8M) 10L*24C (SIRIM) A252,PC,01-0,0
0101A082,(2#) YMC A252-A8/YA8-(SIRIM) (2M X 4.8M) 10L*24C,PC,01-0,0
0101A09,YMC YA9-(2M X 4.8M) 10L*24C (SIRIM) A318,PC,01-0,0
0101A092,(2#) YMC A318-A9/YA9-(SIRIM) (2M X 4.8M) 10L*24C ,PC,01-0,0
0101A10,YMC YA10-(2M X 4.8M) 10L*24C (SIRIM) A393,PC,01-0,0
0101F06,YMC YF6-(2M X 4.8M) 8L*19C (SIRIM) F113 ,PC,01-0,0
0101F062,(2#) YMC YF6-(2M X 4.8M) 8L*19C (SIRIM) F113 ,PC,01-0,0
0101F07,YMC YF7-(2M X 4.8M) 8L*19C (SIRIM) F154,PC,01-0,0
0101F072,(2#) YMC YF7-(2M X 4.8M) 8L*19C (SIRIM) F154,PC,01-0,0
0101F08,YMC YF8-(2M X 4.8M) 8L*19C (SIRIM) F201,PC,01-0,0
0106565C,"YRC 65C [3.8MM X 8"" X 1.4M X 45M]",ROLL,01-2,0
0106566A,"YRC 66A [3.4MM X 8"" X 1.4M X 45M]",ROLL,01-2,0
0106566C,"YRC 66C [2.8MM X 8"" X 1.4M X 45M]",ROLL,01-2,0
010A5,YMC PRODUCT SPECIAL ORDER,PC,01-0,0
0110251080,G SERIES 5X1080X2410X65X200MM V.F HGI WIRE HGIG51080 ,PC,01-7,0
0110251280,G SERIES 5X1280X2410X65X200MM V.F HGI WIRE HGIG51280 ,PC,01-7,0
0110251480,G SERIES 5X1480X2410X65X200MM V.F HGI WIRE HGIG51480,PC,01-7,0
0110251680,G SERIES 5X1680X2410X65X200MM V.F HGI WIRE HGIG51680 ,PC,01-7,0
0110251880,G SERIES 5X1880X2410X65X200MM V.F HGI WIRE HGIG51880,PC,01-7,0
0110261080G2,G2 5X1080X2410X65X200MM V.F HGI WIRE HGIG251080,PC,01-7,0
0110261280G2,G2 5X1280X2410X65X200MM V.F HGI WIRE HGIGS51280,PC,01-7,0
0110261480G2,G2 5X1480X2410X65X200MM V.F HGI WIRE HGIGS51480 ,PC,01-7,0
0110261680G2,G2 5X1680X2410X65X200MM V.F HGI WIRE HGIGS51680,PC,01-7,0
0110261880G2,G2 5X1880X2410X65X200MM V.F HGI WIRE HGIGS51880 ,PC,01-7,0
0110271250D,D SERIES 5X1250X2400X100X300 HGI WIRE HGID1250,PC,01-7,0
0110271550D,D SERIES 5X1550X2400X100X300 HGI WIRE HGID1550,PC,01-7,0
0110271850D,D SERIES 5X1850X2400X100X300 HGI WIRE HGID1850,PC,01-7,0
0110272150D,D SERIES 5X2150X2400X100X300 HGI WIRE HGID2150,PC,01-7,0
0110272450D,D SERIES 5X2450X2400X100X300 HGI WIRE HGID2450,PC,01-7,0
0110281250DG,D 5X1250X2400X100X300 PE GREY & HGIPED1250,PC,01-7,0
0110281550DG,D 5X1550X2400X100X300 PE GREY & HGIPED1550,PC,01-7,0
0110281850DG,D 5X1850X2400X100X300 PE GREY & HGIPED1850,PC,01-7,0
0110282150DG,D 5X2150X2400X100X300 PE GREY & HGIPED2150,PC,01-7,0
0110282450DG,D 5X2450X2400X100X300 PE GREY & HGIPED2450,PC,01-7,0
0115000,VERSATILE FENCING (SPECIAL ORDER/LOOSE),PC,01-7,0
011530924V2,V2 5X900X2400X50X300MM V.F HGI WIRE HGIV25092450300 ,PC,01-7,0
011531224V2,V2 5X1200X2400X50X300MM V.F HGI WIRE HGIV25122450300,PC,01-7,0
011531524V2,V2 5X1500X2400X50X300MM V.F HGI WIRE HGIV25152450300,PC,01-7,0
011531824V2,V2 5X1800X2400X50X300MM V.F HGI WIRE HGIV25182450300,PC,01-7,0
011532124V2,V2 5X2100X2400X50X300MM V.F HGI WIRE HGIV25212450300,PC,01-7,0
01154151212SG,S-SERIES 4X1500X1200X12.5X100MM V.F HGI & PE GREY S41512125100GREY,PC,01-7,0
01154181212SG,S-SERIES 4X1800X1200X12.5X100MM V.F HGI & PE GREY S41812125100GREY,PC,01-7,0
01154211212SG,S-SERIES 4X2100X1200X12.5X100MM V.F HGI & PE GREY S42112125100GREY,PC,01-7,0
01154241212SG,S-SERIES 4X2400X1200X12.5X100MM V.F HGI & PE GREY S42412125100GREY,PC,01-7,0
